26-06-30 12:56:07.802 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| carpet     |          98.6 |          97   |         100   |      100   |
| bottle     |          86.4 |          80.7 |          93.3 |       98   |
| hazelnut   |          95.5 |          93.5 |          97.8 |       98.8 |
| leather    |          98.9 |          96.5 |         100   |      100   |
| cable      |          93.6 |          81   |          88.1 |       93.2 |
| capsule    |          92.1 |          81.9 |          90.3 |       98   |
| grid       |          96.6 |          87.9 |          99.1 |       99.7 |
| pill       |          78.4 |          89.6 |          82.4 |       95.4 |
| transistor |          66.9 |          56.9 |          87.4 |       83.4 |
| metal_nut  |          91.5 |          84.5 |          95.7 |       99   |
| screw      |          94.7 |          82.4 |          84.3 |       93.7 |
| toothbrush |          91   |          86.1 |          92.8 |       97.2 |
| zipper     |          89   |          67.6 |          98.1 |       99.5 |
| tile       |          93.7 |          89.6 |         100   |      100   |
| wood       |          96.9 |          93.5 |          99.2 |       99.8 |
| mean       |          90.9 |          84.6 |          93.9 |       97   |
